name,description,date,time,status
Morning Workout,30-minute cardio session,2024-02-28,07:00,✘
Grocery Shopping,"Buy vegetables, milk, bread",2024-02-27,18:00,✘
Project Update,Send progress report to team,2024-03-01,11:00,✔
Call Mom,Check-in call with mom,2024-02-27,20:00,✔
Read Book,Read 20 pages of ‘Sapiens’,2024-02-28,21:00,✔
Study Session,Review notes on marketing,2024-03-02,16:00,✘
Laundry,Wash and fold clothes,2024-02-27,17:00,✘
Meditate,15-minute morning meditation,2024-02-28,06:30,✔
Email Client,Send updated proposal,2024-03-01,14:00,✘
Plan Trip,Research and book flights,2024-03-03,20:00,✘
